time GYR_X_865 Q_X_865 Q_Y_871 GYR_Y_871 Q_Z_925 GYR_Z_925 UPP_X_865 UPP_Y_871 UPP_Z_925 
sec V V V V V V V V V 
# ai0 ai1 ai2 ai3 ai4 ai5 ai6 ai7 ai8 
181.120000 2.481539148786603199425826 2.541761198256713871757029 2.510845063162510104604053 2.472843988373182977369424 2.491522481673494660014967 2.481056084307281750511720 2.606813918332071988714915 2.627102643328556474955349 2.601661226678248617361078 
181.130000 2.479606890877729785671590 2.543210392232246430666009 2.528879474593522580505578 2.472038880950437889083560 2.498768449467505536887302 2.480411998337034518158362 2.604398594098769059712595 2.631611249232926219576711 2.593288103092823426720770 
181.140000 2.473649095799813846241477 2.535642379390417033846461 2.508107697314284401102213 2.475903396615057872054422 2.492810653702616896509880 2.480250976844862176307061 2.612932739885763577802891 2.622271994286576202171091 2.595220362343124254067561 
181.150000 2.485564686168833858914695 2.543854478447717504252523 2.530006625373641515608369 2.470589687599284989261150 2.483310385222780691805156 2.478962804913089179592589 2.612127631773258240599489 2.626941621691469830324195 2.600051010570299414581541 
181.160000 2.482827320738316245751776 2.541600176704669866722952 2.522277591608169000636508 2.471394795015038337027136 2.483632428213202292255346 2.482344256255255121601522 2.612449675017775696517219 2.619212583302157337783456 2.595864448765040854993913 
181.170000 2.479445869386335932205156 2.544981629330899330909688 2.532905013129503668523057 2.475420332152082014687267 2.489268180646592831806174 2.478479740441243528437099 2.611644566907695530488809 2.620339734710661616645666 2.594093211110966468169181 
181.180000 2.475742375127243821708589 2.538057702599791909392479 2.532582970042989600756300 2.473971138771553945900905 2.481056084307281750511720 2.478640761931703018206008 2.611000480422542402436648 2.621949951022302549574761 2.596508535189532729248185 
181.190000 2.476547482567869273850647 2.525820065372206713050218 2.522277591608169000636508 2.473005009858197933425572 2.480089955352845265679207 2.482183234761212720087542 2.611000480422542402436648 2.622755059184202597322155 2.600695097011544554277407 
181.200000 2.482022213267326637975430 2.541922219808916416639022 2.524209850015452616389666 2.476225439591152710505639 2.487818987145462568122412 2.479445869386335932205156 2.612932739885763577802891 2.629517967904340114415618 2.599728967350644293077266 
181.210000 2.482666299243806662389034 2.540312004294023040529282 2.539345874992693374849750 2.476547482567869273850647 2.504082159384608541330408 2.478801783422318383287575 2.605847788634392703244202 2.621144842864455704045668 2.598440794478467541495093 
181.220000 2.478318718950939469891637 2.550134319181640130125288 2.519540225570042313307795 2.478157697460791286658832 2.492971675206960835424752 2.480573019829362291233110 2.610839458801657908537663 2.625331405329537570736420 2.603271442802320922993431 
181.230000 2.477513611501755086408139 2.541922219808916416639022 2.519701247100436525272471 2.473327052828695027386630 2.479284847895097954051380 2.480250976844862176307061 2.611161502043588100718807 2.622110972654358107547523 2.600534075400991795845584 
181.240000 2.481378127293340174475134 2.533066034672998068089100 2.530650711537185237887115 2.476386461079433498611024 2.487174901149018957369208 2.480573019829362291233110 2.611805588529388266749720 2.627907751516423751070306 2.601500205066728188540992 
181.250000 2.478157697460791286658832 2.548846146703708903658026 2.538701788794975211516203 2.474937267690506370598769 2.486530815155072460242991 2.477996675970798534649475 2.607780048035564846031775 2.623721188983835883590245 2.602144291513776686031179 
181.260000 2.480411998337034518158362 2.535159314752815973292854 2.535481357844391769873482 2.473327052828695027386630 2.487657965646117297353612 2.477352590012385391560201 2.605364723787732206261580 2.623882210617675792008185 2.600534075400991795845584 
181.270000 2.480089955352845265679207 2.541278133601057032109338 2.519701247100436525272471 2.471877859466355076278887 2.496675169850027575790818 2.480089955352845265679207 2.608263112889491086576754 2.624526297154658571741948 2.601178161844170944050347 
181.280000 2.474937267690506370598769 2.550456362302712332024157 2.522116570075254138316723 2.473649095799813846241477 2.479928933860984230364011 2.476225439591152710505639 2.609873329079747339420692 2.625975491872362344025760 2.605525745403124204813139 
181.290000 2.477513611501755086408139 2.549812276061204308064134 2.533549099304429397250260 2.475420332152082014687267 2.488302051644434076393964 2.479606890877729785671590 2.609390264220973865150199 2.624848340424123627201425 2.604237572484506824110895 
181.300000 2.481539148786603199425826 2.528879474593522580505578 2.530006625373641515608369 2.475742375127243821708589 2.492649632198429721086086 2.478801783422318383287575 2.608746177744871275194782 2.624204253885842774707271 2.601017140233134572468998 
181.310000 2.478640761931703018206008 2.554320879805175525945060 2.519218182509727288476142 2.467852322414762600288896 2.479284847895097954051380 2.480895062814486351498999 2.613737848002313235440397 2.622110972654358107547523 2.602788377963405341830594 
181.320000 2.480089955352845265679207 2.551744534793356944391007 2.520828397817604926700596 2.473005009858197933425572 2.495548019297725961251899 2.476225439591152710505639 2.606813918332071988714915 2.630162054464056264890814 2.601017140233134572468998 
